Incident-id,Date(dd/mm/yr),Animal,village,District,State,Victim age,Victim outcome,Incident details,Source url,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,lat,lon,elevation,dist_water,dist_forest,dist_village
204,26/10/25,Tiger,saragur,mysuru,Karnataka,54yr,Dead,"He was killed by the tiger when he was herding his cattle at Mulluru, bordering the Reserve",https://www.thehindu.com/news/national/karnataka/farmer-killed-in-tiger-attack-in-sargur/article70204719.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.245325323484874,76.64957225954298,488,303,1150,176
205,25/10/25,Tiger,dharmapur,bahraich,Uttar pradesh,40yr,injured,She  was working in the fields when the tiger sprang from a nearby bush and attacked her. ,Tiger attacks woman in Uttar Pradeshs Katarniaghat Wildlife Sanctuary - The Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.551854155568854,81.61841250989718,578,2607,1416,1635
206,19/10/25,Tiger,chakpipri,bahraich,Uttar pradesh,45yr,Dead,The farmer killed by a tiger,"Tigers kill 4 humans in 8 days in Chandrapur district, villagers up in arms | Nagpur News - The Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.554040737833375,81.61237750150754,689,1546,1012,395
207,26/10/25,Tiger,chimur,chandrapur,Maharastra,60yr,Dead,He had gone to his farm in the Doma forest beat for crop inspection where he was attacked by a tiger,"Tigers kill 4 humans in 8 days in Chandrapur district, villagers up in arms | Nagpur News - The Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.967220453762454,79.2658174914761,430,148,1081,444
208,25/10/25,Tiger,akapur,chandrapur,Maharastra,58yr,Dead,He was killed in his field,https://timesofindia.indiatimes.com/city/nagpur/tiger-kills-farmer-in-farm-villagers-confront-foresters/articleshow/124817699.cms?utm_source=chatgpt.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.981585500053118,79.30334227560044,240,2250,633,1256
209,26/10/25,Tiger,ganeshpipri,chandrapur,Maharastra,45yr,Dead,She was mauled to death,https://timesofindia.indiatimes.com/city/nagpur/tiger-kills-woman-in-chandrapur-second-attack-within-a-week/articleshow/124834164.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.99741233424614,79.30113473932079,227,1934,512,1938
210,26/10/25,Tiger,sujali,bahraich,Uttar pradesh,21yr,Dead,He was collecting turmeric from a near by canal when a tiger emerged and attacked him,"Bahraich-UP-Animal attacks | Tiger kills 21 year old man in UPs Bahraich, second attack in Katarniaghat in two days - Telegraph India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.611155546203147,81.59794424380462,334,1969,801,75
211,07-10-25,leopard,khambhar khera,kheri,Uttar pradesh,8yr,Dead,She was in a sugarcane field near her home when the leopard attacked her,"Leopard kills girl in Kheri, tiger attacks 2 bikers in Pilibhit | Bareilly News - The Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.897224551728385,80.72237753650143,400,927,1119,264
212,08-08-25,Tiger,madhotanda,pilibhit,Uttar pradesh,--,injured,"A tiger mauled two bikers on Pilibhit-Madhotanda road, leaving one of them seriously injuried","Leopard kills girl in Kheri, tiger attacks 2 bikers in Pilibhit | Bareilly News - The Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.650947371208314,79.83272593229434,232,387,1141,454
213,08-08-25,Tiger,girijapuri,bahraich,Uttar pradesh,60yr,injured,She and her niece was attacked by the tiger,"UP: Tiger injures woman, her niece, reappears to attack bank employee; alert issued | Lucknow News - The Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.559872292307126,81.62413803825159,247,2919,559,1819
