Incident-id,Date(dd/mm/yr),Animal,village,District,State,Victim age,Victim outcome,Incident details,Source url,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,lat,lon,elevation,dist_water,dist_forest,dist_village
301,23-03-2024,Sloth Bear,Anakapalle,Srikakulam,Andhra Pradesh,50yr,Dead,Two farmers were attacked while working in a cashew orchard. One victim was dragged from a tractor by the bear.,https://www.newindianexpress.com/states/andhra-pradesh/2024/Mar/24/sloth-bear-mauls-two-ryots-to-death-in-andhra-pradeshs-srikakulam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.294907504248897,83.8692912039512,756,2381,431,1156
304,27-08-2025,Sloth Bear,Turunga,Jajpur,Odisha,27yr,Dead,Victim was attacked while attending to nature's call in a forest patch. He succumbed to injuries days later in Sept 2025.,https://timesofindia.indiatimes.com/city/bhubaneswar/man-from-jajpur-district-dies-days-after-getting-injured-in-sloth-bear-attack/articleshow/123837806.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.897990023474062,86.29012554852216,773,2976,340,1186
306,27-07-2025,Sloth Bear,Yelagiri Hills (12th Hairpin Bend),Tirupattur,Tamil nadu,50yr,injured,A coconut trader riding a two-wheeler hit a bear crossing the road at a hairpin bend and was attacked in defense.,https://www.thehindu.com/news/national/tamil-nadu/sloth-bear-attacks-motorist-in-yelagiri-hills-forest-officials-issue-guidelines/article69858382.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.530939425260271,78.52254044522695,227,1009,550,1238
308,16-09-2025,Sloth Bear,Khanua-Jamgadi,Singrauli,Madhya Pradesh,45yr,Dead,Victim (Guest Teacher) was grazing goats in the forest when attacked. Another man (45) tried to save him and was also killed.,https://www.newindianexpress.com/nation/2025/Sep/20/female-sloth-bear-that-killed-two-men-in-singrauli-found-dead-forensic-analysis-ordered-to-determine-cause,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1671387768793,82.68057211319814,755,1554,1312,732
316,24-03-2024,Sloth Bear,Anakapalle,Srikakulam,Andhra Pradesh,50yr,Dead,Couple working in cashew orchard attacked. Neighbor on tractor tried to intervene and was dragged off and killed.,https://www.newindianexpress.com/states/andhra-pradesh/2024/Mar/24/sloth-bear-mauls-two-ryots-to-death-in-andhra-pradeshs-srikakulam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.306081000986858,83.92608657814029,539,502,1277,234
317,24-03-2024,Sloth Bear,Anakapalle,Srikakulam,Andhra Pradesh,45yr,Dead,Couple working in cashew orchard attacked. Neighbor on tractor tried to intervene and was dragged off and killed.,https://www.newindianexpress.com/states/andhra-pradesh/2024/Mar/24/sloth-bear-mauls-two-ryots-to-death-in-andhra-pradeshs-srikakulam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.321248016756027,83.88200211043343,530,865,356,1866
318,15-07-2025,Sloth Bear,Antharasanthe Range,Mysuru,Karnataka,47yr,injured,Forest watcher attacked on face and head while patrolling in Nagarahole Tiger Reserve,https://www.deccanherald.com/india/karnataka/bear-attacks-forest-watcher-in-nagarahole-tiger-reserve-3632115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.279500899837531,76.58111746472672,705,708,22,657
319,12-07-2025,Sloth Bear,Ryavanaki,Koppal,Karnataka,60yr,injured,Victim attacked by a mother bear with two cubs while working in his farm near a residential school,https://timesofindia.indiatimes.com/city/hubballi/bear-attacks-farmer-in-koppal-village/articleshow/122408880.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.381443508912357,76.18415493300492,547,596,521,750
320,02-12-2024,Sloth Bear,Mana (Khanapur),Belagavi,Karnataka,62yr,injured,Farmer attacked while walking to his field with his wife. He fought the bear with a machete but lost his leg,https://www.thehindu.com/news/national/karnataka/farmer-injured-in-bear-attack-in-belagavi-forest/article68941352.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8519727520616,74.48899645421304,672,1265,1123,587
321,25-08-2024,Sloth Bear,Thimlapura,Shivamogga,Karnataka,35yr,injured,Two villagers suffered minor injuries in attacks leading up to the capture of the bear by forest officials.,https://www.thehindu.com/news/national/karnataka/forest-dept-officials-capture-sloth-bear-in-thimlapura-in-bhadravati-taluk/article68565663.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.871475755878361,75.55122681399745,430,66,801,1032
322,25-08-2024,Sloth Bear,Thimlapura,Shivamogga,Karnataka,35yr,injured,Two villagers suffered minor injuries in attacks leading up to the capture of the bear by forest officials.,https://www.thehindu.com/news/national/karnataka/forest-dept-officials-capture-sloth-bear-in-thimlapura-in-bhadravati-taluk/article68565663.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.872336644543124,75.59473690250256,389,1293,1203,1097
323,13-05-2024,Sloth Bear,Chilakamukhi,Koppal,Karnataka,,Dead,Report confirms two people were killed in Koppal district in the preceding month (April 2024).,https://www.deccanherald.com/elections/karnataka/sloth-bear-leopard-attacks-scare-daylights-out-of-farmers-in-3-districts-of-karnataka-3021062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.321788176459249,76.13386365351232,424,2255,1246,953
324,13-05-2024,Sloth Bear,Chilakamukhi,Koppal,Karnataka,,Dead,Report confirms two people were killed in Koppal district in the preceding month (April 2024).,https://www.deccanherald.com/elections/karnataka/sloth-bear-leopard-attacks-scare-daylights-out-of-farmers-in-3-districts-of-karnataka-3021062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.32239789484457,76.13103494214677,584,2574,761,491
326,18-01-2025,Sloth Bear,Korar Forest,Kanker,Chhattisgarh,45yr,Dead,A father and son were killed. The son was attacked first; the father climbed a tree but was dragged down by the bear.,https://timesofindia.indiatimes.com/city/raipur/rabid-sloth-bear-kills-father-son-duo-injures-forest-ranger-in-kanker/articleshow/117436812.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.293035185072732,81.44020272171869,576,1119,441,912
327,18-01-2025,Sloth Bear,Korar Forest,Kanker,Chhattisgarh,65yr,Dead,A father and son were killed. The son was attacked first; the father climbed a tree but was dragged down by the bear.,https://timesofindia.indiatimes.com/city/raipur/rabid-sloth-bear-kills-father-son-duo-injures-forest-ranger-in-kanker/articleshow/117436812.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.24016749031352,81.48701546932989,482,2615,768,1276
328,16-09-2025,Sloth Bear,Khanua-Jamgadi,Singrauli,Madhya pradesh,45yr,Dead,A guest teacher grazing goats was attacked. A rescuer tried to save him but was also mauled to death.,https://www.newindianexpress.com/nation/2025/Sep/20/female-sloth-bear-that-killed-two-men-in-singrauli-found-dead-forensic-analysis-ordered-to-determine-cause,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.164730555629813,82.70258228021099,458,2196,1015,1253
329,16-09-2025,Sloth Bear,Khanua-Jamgadi,Singrauli,Madhya pradesh,45yr,Dead,A guest teacher grazing goats was attacked. A rescuer tried to save him but was also mauled to death.,https://www.newindianexpress.com/nation/2025/Sep/20/female-sloth-bear-that-killed-two-men-in-singrauli-found-dead-forensic-analysis-ordered-to-determine-cause,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.201224771943114,82.67459182438384,558,1818,1348,1542
332,27-08-2025,Sloth Bear,Turunga,Jajpur,Odisha,27yr,Dead,Victim attacked while attending nature's call in a forest patch. Succumbed to injuries later,https://timesofindia.indiatimes.com/city/bhubaneswar/man-from-jajpur-district-dies-days-after-getting-injured-in-sloth-bear-attack/articleshow/123837806.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.879803638623834,86.3681486369431,655,1110,515,1197
333,28-01-2023,Sloth Bear,Naliadaba,Jajpur,Odisha,65yr,injured,Elderly man fought off a bear with a bamboo stick for several minutes and survived,https://timesofindia.indiatimes.com/city/bhubaneswar/man-fights-off-sloth-bear-with-bamboo-stick-in-odisha/articleshow/97434803.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.821449708487506,86.29204827348454,610,2377,1039,1676
334,27-10-2024,Sloth Bear,Bijora,Balaghat,Madhya Pradesh,,Animal Deceased,"Bear died after biting a ""crude bomb"" (meat coated explosive) meant for wild boars.",https://timesofindia.indiatimes.com/city/bhopal/tragic-death-of-sloth-bear-after-consuming-crude-bomb-in-balaghat-forest/articleshow/114634280.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.822754304598345,80.20874732730839,517,2594,791,1191
336,05-12-2024,Sloth Bear,Maan,Belagavi,Karnataka,63yr,injured,Farmer grievously injured while walking to his fields near the Goa-Karnataka border.,https://timesofindia.indiatimes.com/city/goa/sloth-bear-mauls-man-on-goa-ktaka-border/articleshow/116018055.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.802610956422114,74.52028912196016,424,351,335,169
337,17-12-2023,Sloth Bear,Kanha Tiger Reserve,Balaghat,Madhya Pradesh,30yr,injured,A forest guard and a watcher were attacked on patrol. The watcher was mauled while trying to save the guard.,https://indianmasterminds.com/news/sloth-bear-attacks-forest-staff-in-kanha-tiger-reserve-guard-watcher-hospitalised/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.85855432128145,80.20911524768006,433,230,257,1416
338,17-12-2023,Sloth Bear,Kanha Tiger Reserve,Balaghat,Madhya Pradesh,40yr,injured,A forest guard and a watcher were attacked on patrol. The watcher was mauled while trying to save the guard.,https://indianmasterminds.com/news/sloth-bear-attacks-forest-staff-in-kanha-tiger-reserve-guard-watcher-hospitalised/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.809539259416592,80.14990818921657,573,656,496,945
343,18-12-2021,Sloth Bear,Upper Sholayar Dam,Coimbatore,Tamil nadu,16yr,injured,A teenager ventured out of his quarters at 10:45 PM and was attacked by a bear near the dam,https://www.thehindu.com/news/cities/Coimbatore/boy-injured-in-sloth-bear-attack-near-valparai/article37990217.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.999588130388881,76.93762887845287,671,749,895,794
15-12-1900,05-03-2021,Sloth Bear,Forest Area,Chandrapur,Maharashtra,,injured,A complex conflict event involving both a tiger (killed one) and a sloth bear (injured two) in the same area.,https://www.ndtv.com/topic/sloth-bear-attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0012065252179,79.28618409521731,432,1042,159,633
